serial,AB,sentiment_polarity,sentiment_subjectivity,sentiment_category
416,"The Ludii AI Competition involves general game playing events focused on developing agents that can play a wide variety of board games. In the 2022 edition, three competition tracks were proposed: Kilothon, General Game Playing, and Learning. All tracks used the Ludii general game system to provide the necessary games and API. This paper reports the motivation, context, and results of the 2022 Ludii AI Competition.",-0.14375,0.5125,負面
452,"Automated Guided Vehicle (AGV) systems are complex to design and to implement. Inefficiencies become difficult to avoid or even to control. This paper presents the theory behind a novel agent based AGV controller that aims to control the flow of AGVs in an effective manner and, therefore, overcome the inefficiencies that can be found in complex designs. Agents are simple entities that interact with other agents to produce an emergent behaviour that is not explicitly programmed into them. The AGV controller presented uses agents as traffic managers to allow access to points and segments in the guide path. Each agent has a rule base that it uses to assess the enquiries that it receives from an AGV. Each enquiry is evaluated only at the smallest possible part of the guide path rather than the entire guide path. AGVs are then able to allocate segments and points on their paths depending on the result of each enquiry. Simulation experiments were used to test the cont roller and an overview is presented.",-0.1104166666666666,0.6901785714285714,負面
561,"Virtue ethics seems to be a promising moral theory for understanding and interpreting the development and behavior of artificial moral agents. Virtuous artificial agents would blur traditional distinctions between different sorts of moral machines and could make a claim to membership in the moral community. Accordingly, we investigate the ""machine question"" by studying whether virtue or vice can be attributed to artificial intelligence; that is, are people willing to judge machines as possessing moral character? An experiment describes situations where either human or AI agents engage in virtuous or vicious behavior and experiment participants then judge their level of virtue or vice. The scenarios represent different virtue ethics domains of truth, justice, fear, wealth, and honor. Quantitative and qualitative analyses show that moral attributions are weakened for AIs compared to humans, and the reasoning and explanations for the attributions are varied and more complex. On ""relational"" views of membership in the moral community, virtuous machines would indeed be included, even if they are indeed weakened. Hence, while our moral relationships with artificial agents may be of the same types, they may yet remain substantively different than our relationships to human beings.",-0.1145833333333333,0.5010416666666666,負面
653,FBI agents Saskia Lipcott and Dinah Carter have one last chance to evade Dupin's corrupt AI.,-0.25,0.5333333333333333,負面
659,"The present paper surveys neural approaches to conversational AI that have been developed in the last few years. We group conversational systems into three categories: (1) question answering agents, (2) task-oriented dialogue agents, and (3) chatbots. For each category, we present a review of state-of-the-art neural approaches, draw the connection between them and traditional approaches, and discuss the progress that has been made and challenges still being faced, using specific systems and models as case studies.",-0.10625,0.2927083333333333,負面
671,"Artificial intelligence (AI) is about creating agents that act in environments (Russell and Norvig, 2010; Poole and Mackworth, 2017). Acting in an environment where there is any partial observability or stochasticity is gambling on the outcomes of actions. Probability and utility are the calculi for gambling; there are numerous results that show that an agent that does not use probability will lose to one that does. The real world is complicated; non-trivial agents need to reason about individuals (things, objects, entities), properties of the individuals and relationships among individuals. Statistical relational AI (StaRAI) (De Raedt et al., 2016) is the field that studies the integration of reasoning under uncertainty and reasoning about individuals and relations. The representations used are often called relational probabilistic models.",-0.1666666666666666,0.5166666666666667,負面
672,"The hospitality industry employs artificial intelligence (AI) to positively influence customer psychological reactions and behavior. Our research addresses the challenges posed by AI service failure and explores the role of virtual service agents (VSAs) during the service failure recovery (SFR) process. In this study, we conducted a scoping review of 87 high-quality literature items published between 2000 and June 2024 to investigate how AI service failures contribute to adverse customer psychological reactions and behavior. This paper conceptualizes VSAs' anthropomorphic attributes that may play important roles during the SFR process by influencing customer comfort and service failure tolerance. Moreover, we present how the severity of service failure and the competence of VSAs moderate the relationship between VSA anthropomorphic attributes and customer service failure tolerance. Theoretical and practical implications are discussed to provide additional insights.",-0.1196969696969696,0.388111888111888,負面
680,"Behavior Trees (BTs) were invented as a tool to enable modular AI in computer games, but have received an increasing amount of attention in the robotics community in the last decade. With rising demands on agent AI complexity, game programmers found that the Finite State Machines (FSM) that they used scaled poorly and were difficult to extend, adapt and reuse. In BTs, the state transition logic is not dispersed across the individual states, but organized in a hierarchical tree structure, with the states as leaves. This has a significant effect on modularity, which in turn simplifies both synthesis and analysis by humans and algorithms alike. These advantages are needed not only in game AI design, but also in robotics, as is evident from the research being done. In this paper we present a comprehensive survey of the topic of BTs in Artificial Intelligence and Robotic applications. The existing literature is described and categorized based on methods, application areas and contributions, and the paper is concluded with a list of open research challenges. (c) 2022 The Author(s). Published by Elsevier B.V. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).",-0.1267857142857143,0.5136904761904763,負面
717,"In the fields of artificial intelligence and robotics, the term ""autonomy"" is generally used to mean the capacity of an artificial agent to operate independently of human guidance. It is thereby assumed that the agent has a fixed goal or ""utility function"" with respect to which the appropriateness of its actions will be evaluated. From a philosophical perspective, this notion of autonomy seems oddly weak. For, in philosophy, the term is generally used to refer to a stronger capacity, namely the capacity to ""give oneself the law,"" to decide by oneself what one's goal or principle of action will be. The predominant view in the literature on the long-term prospects and risks of artificial intelligence is that an artificial agent cannot exhibit such autonomy because it cannot rationally change its own final goal, since changing the final goal is counterproductive with respect to that goal and hence undesirable. The aim of this paper is to challenge this view by showing that it is based on questionable assumptions about the nature of goals and values. I argue that a general AI may very well come to modify its final goal in the course of developing its understanding of the world. This has important implications for how we are to assess the long-term prospects and risks of artificial intelligence.",-0.1198863636363636,0.6823863636363637,負面
762,"In the era of Industry 4.0 and 5.0, a transformative wave of softwarisation has surged. This shift towards software-centric frameworks has been a cornerstone and has highlighted the need to comprehend software applications. This research introduces a novel agent-based architecture designed to sense and predict software application metrics in industrial scenarios using AI techniques. It comprises interconnected agents that aim to enhance operational insights and decision-making processes. The forecaster component uses a random forest regressor to predict known and aggregated metrics. Further analysis demonstrates overall robust predictive capabilities. Visual representations and an error analysis underscore the forecasting accuracy and limitations. This work establishes a foundational understanding and predictive architecture for software behaviours, charting a course for future advancements in decision-making components within evolving industrial landscapes.",-0.1,0.225,負面
780,"Agent models provide a generalized approach to the design of systems that autonomously monitor and affect an environment. Societies of agents that reason and communicate about an environment can achieve complex emergent behavior to facilitate and augment human activities. This paper introduces artificial agent technologies as a means by which the behavioral complexity of virtual worlds can be extended to provide the functionality needed to support collaboration in multidisciplinary design teams. Three key roles are identified that artificial agents can play to provide this functionality: support for multiple views of designed objects, support for the expression of relationships between designed objects, and compatibility with existing design tools. The implementation of a society of agents fulfilling these roles within a virtual world based. multidisciplinary design tool called DesignWorld is described. The increased behavioral complexity and functionality of DesignWorld's underlying virtual world is demonstrated using the results of multidisciplinary design experiments with DesignWorld.",-0.1571428571428571,0.6,負面
813,"The performance of game AI can significantly impact the purchase decisions of users. User experience (UX) technology can evaluate user satisfaction with game AI by analyzing user interaction input through a user interface (UI). Although traditional UX-based game agent systems use a UX evaluation to identify the common interaction trends of multiple users, there is a limit to evaluating UX data, i.e., creating a UX evaluation and identifying the interaction trend for each individual user. The loss of UX data features for each user should be minimized and reflected to provide a personalized game agent system for each user. This paper proposes a UX framework for game agent systems in which a UX data reduction method is applied to improve the interaction for each user. The proposed UX framework maintains non-trend data features in the UX dataset where overfitting occurs to provide a personalized game agent system for each user, achieved by minimizing the loss of UX data features for each user. The proposed UX framework is applied to a game called ""Freestyle"" to verify its performance. By using the proposed UX framework, the imbalanced UX dataset of the Freestyle game minimizes overfitting and becomes a UX dataset that reflects the interaction trend of each user. The UX dataset generated from the proposed UX framework is used to provide customized game agents of each user to enhanced interaction. Furthermore, the proposed UX framework is expected to contribute to the research on UX-based personalized services.",-0.2416666666666666,0.4350000000000001,負面
854,"We developed a method to synthesize game levels that accounts for the degree of collaboration required by two players to finish a given game level. We first asked a game level designer to create playable game level chunks. Then, two artificial intelligence (AI) virtual agents driven by behavior trees played each game level chunk. We recorded the degree of collaboration required to accomplish each game level chunk by the AI virtual agents and used it to characterize each game level chunk. To synthesize a game level, we assigned to the total cost function cost terms that encode both the degree of collaboration and game level design decisions. Then, we used a Markov-chain Monte Carlo optimization method, called simulated annealing, to solve the total cost function and proposed a design for a game level. We synthesized three game levels (low, medium, and high degrees of collaboration game levels) to evaluate our implementation. We then recruited groups of participants to play the game levels to explore whether they would experience a certain degree of collaboration and validate whether the AI virtual agents provided sufficient data that described the collaborative behavior of players in each game level chunk. By collecting both in-game objective measurements and self-reported subjective ratings, we found that the three game levels indeed impacted the collaboration gameplay behavior of our participants. Moreover, by analyzing our collected data, we found moderate and strong correlations between the participants and the AI virtual agents. These results show that game developers can consider AI virtual agents as an alternative method for evaluating the degree of collaboration required to finish a game level.",-0.2229421768707483,0.4599319727891157,負面
866,"Searching for information is an ubiquitous need in today's data-oriented environments. However, a request for starch often entails the service and cooperation of tools managing a diversified set of tasks. In this article. we explore how tools in the form of cooperating agents can be deployed for information management. We describe an agent framework called GAME (goal-oriented, agent-managed environment), and focus on how GAME agents search cooperatively for information requested by a user. Cooperative search entails several issues such as coordinating agent activities. maintaining transparency to agent heterogeneity, and designing information formats to be shared among the agents that require examination. This article analyzes these issues and describes how they are handled in the GAME framework. Cooperative search effectively supports collaboration and information sharing not only among agents in a domain, but also among GAME agents developed across domains. We illustrate the application of cooperative search in task-oriented domains such as Manufacturing and Front Office showing how GAME promotes intradomain and interdomain collaboration in a Factory environment.",-0.1181818181818182,0.4636363636363637,負面
869,"Aim of this work is to provide a formal characterization of those emotions that deal with normative reasoning, such as shame and sense of guilt, to understand their relation with rational action and to ground their formalization on a cognitive science perspective. In order to do this we need to identify the factors that constitute the preconditions and trigger the reactions of shame and sense of guilt in cognitive agents, that is when agents feel ashamed or guilty and what agents do when they feel so. We will also investigate how agents can induce and silence these feelings in themselves, i.e. the analysis of defensive strategies they can employ. We will argue that agents do have control over their emotions and we will analyze some operations they can carry out on them.",-0.1333333333333333,0.5333333333333333,負面
898,"Integrating artificial intelligence (AI) into existing work routines involves invasive changes, and the resulting user resistance can lead to project failure. We describe a failed AI project at a large hospital to implement a cognitive agent and identify the root causes of the user resistance that led to the failure. Based on the lessons learned, we provide recommendations for addressing the causes of resistance for the three types of AI-automation, decision support and engagement.",-0.3038095238095238,0.4657142857142856,負面
923,"We discuss the influence upon the fields of robotics and AI of the manner one conceives the relationships between artificial agents' perception, cognition, and action. We shed some light upon a widespread paradigm we call the isolated perception paradigm that addresses perception as isolated from cognition and action. By mobilizing the resources of philosophy (phenomenology and epistemology) and cognitive sciences, and by drawing on recent approaches in AI, we explore what it could mean for robotics and AI to take distance from the isolated perception paradigm. We argue that such a renouncement opens interesting ways to explore the possibilities for designing artificial agents with intrinsic motivations and constitutive autonomy. We then propose Artificial Interactionism, our approach that escapes the isolated perception paradigm by drawing on the inversion of the interaction cycle. When the interaction cycle is inverted, input data are not percepts directly received from the environment, but outcomes of control loops. Perception is not received from sensors in isolation from cognition but is actively constructed by the cognitive architecture through interaction. We give an example implementation of artificial interactionism that demonstrates basic intrinsically motivated learning behavior in a dynamic simulated environment.",-0.1097222222222222,0.5419444444444445,負面
931,"Accountability is a cornerstone of the governance of artificial intelligence (AI). However, it is often defined too imprecisely because its multifaceted nature and the sociotechnical structure of AI systems imply a variety of values, practices, and measures to which accountability in AI can refer. We address this lack of clarity by defining accountability in terms of answerability, identifying three conditions of possibility (authority recognition, interrogation, and limitation of power), and an architecture of seven features (context, range, agent, forum, standards, process, and implications). We analyze this architecture through four accountability goals (compliance, report, oversight, and enforcement). We argue that these goals are often complementary and that policy-makers emphasize or prioritize some over others depending on the proactive or reactive use of accountability and the missions of AI governance.",-0.6,1.0,負面
932,"Pareto optimality is a domain-independent property that can be used to coordinate distributed engineering agents. Within a model of design called Redux, some aspects of dependency-directed backtracking can be interpreted as tracking Pareto optimality. These concepts are implemented in a framework, called Next-Link, that coordinates legacy engineering systems. This framework allows existing software tools to communicate with each other and a Redux agent over the Internet. The functionality is illustrated with examples from the domain of electrical cable harness design.",-0.125,0.375,負面
994,"A major topic in the field of network and telecommunications is doing business on the World Wide Web (WWW), which is called Electronic Commerce (EC). Another major topic is blending Artificial Intelligence (AI) techniques with the WWW. In the Ex-W-Pert Project we have proposed an agent model for EC components that blends the traditional expert systems' reasoning engine with a multi-layer knowledge base, communication and documentation engines. In this project, EC is viewed as a society of software agents, such as customer, search, catalog, manufacturer, dealer, delivery and banker agents, interacting and negotiating with each other. Each agent has a knowledge-base and a reasoning engine, a communication engine and a documentation engine. The knowledge-base is organized in three layers: skill layer, rule layer and knowledge layer (S-R-K layers). In this project, for each EC agent, we identify the class of problems to be solved and build the knowledge base gradually for each layer. We believe that using this multi-layer knowledge base system will speed up the reasoning and ultimately reduce the operation costs.",-0.2818181818181818,0.7295454545454546,負面
1017,"This study provides a four-good general equilibrium framework with international trade for assessing the impact of the advancement of automation and artificial intelligence (A&AI) on the welfare of a group of agents who are excluded from both owning productive assets, such as capital and land, as well as consuming digital output (digital exclusion). We show that, depending on the magnitude of the factor intensities, the accumulation of A&AI capital may negatively affect the income of the excluded group, who provide unskilled labor, or the owners of land. In doing so, we bring out the conflict of interests that may arise between the owners of A&AI capital and other groups within society, which has implications for the pressure that exists to slow down the adoption of A&AI in an economy.",-0.1430555555555555,0.3463888888888888,負面
1040,"In modern high-volume industries, the serial production line (SPL) is of growing importance due to the inexorable increase in the complexity of manufacturing systems and the associated production costs. Optimal decisions regarding buffer size and the selection of components when designing and implementing an SPL can be difficult, often requiring complex analytical models, which can be difficult to conceive and construct. Here, we propose a model to evaluate and optimize the design of an SPL, integrating numerical simulation with artificial intelligence (AI). Numerous studies relating to the design of SPL systems have been published, but few have considered the simultaneous consideration of a number of decision variables. Indeed, the authors have been unable to locate in the published literature even one work that integrated the selection of components with the optimization of buffer sizes into a single framework. In this research, a System of Integrated Agents Numerical Optimization (SIGN) is developed by which the SPL design can be optimized. A SIGN consists of a components selection system and a decision support system. A SIGN aids the selection of machine tools, buffer sizes, and robots via the integration of AI and simulations. Using a purpose-developed interface, a user inputs the appropriate SPL parameters and settings, selects the decision-making and optimization techniques to use, and then displays output results. It will be implemented in open-source software to broaden the impact of the SIGN and extend its influence in industry and academia. It is expected that the results of this research project will significantly influence open-source manufacturing system design and, consequently, industrial and economic development.",-0.1014285714285714,0.5109523809523809,負面
1043,"The progressive advent of artificial intelligence machines may represent both an opportunity or a threat. In order to have an idea of what is coming we propose a model that simulate a Human-AI ecosystem. In particular we consider systems where agents present biases, peer-to-peer interactions and also three body interactions that are crucial and describe two humans interacting with an artificial agent and two artificial intelligence agents interacting with a human. We focus our analysis by exploring how the relative fraction of artificial intelligence agents affect that ecosystem. We find evidence that for suitable values of the interaction parameters, arbitrarily small changes in such percentage may trigger dramatic changes for the system that can be either in one of the two polarised states or in an undecided state.",-0.182051282051282,0.5910256410256409,負面
1070,"Purpose: To study the effect of Compound Bieshe Kang'ai (CBK) on proliferation and apoptosis in colorectal cancer cells. Methods: HCT116 colorectal cancer cells and FHs 74 Int intestinal cells were treated with CBK, followed by determination of cell proliferation with 3-(4,5-dimethyfthiazol-2-yl)-2,5-diphenyltetrazolium bromide (MTT) assay. Caspase-9 and caspase-3 activities as well as protein expressions of Bcl-2 and BAX, and mRNA levels of caspase-9, caspase-3, Bcl-2 and BAX in HCT116 cells were evaluated, followed by examination of the morphological alterations of HCT116 cells with Hoechst 33342 staining. Results: CBK suppressed proliferation of HCT116 cells in a concentration- and time-dependent pattern, without cytotoxicity to FHs 74 Int cells. CBK also elevated caspase-9 and caspase-3 activities, mitigated protein translation of Bcl-2 and augmented that of BAX. It also enhanced mRNA transcriptions of caspase-9, caspase-3 and BAX, but decreased that of Bcl-2 in HCT116 cells in a concentration-dependent manner, as well as induced cancer cell shrinkage, nuclear fragmentation and chromatin condensation. Conclusion: The findings highlight CBK as a promising therapeutic agent for colorectal cancers, by retarding proliferation and inducing apoptosis in cancer cells.",-0.1,0.6,負面
1080,"Artificial intelligence (AI) continues to transform firm-customer interactions. However, current AI marketing agents are often perceived as cold and uncaring and can be poor substitutes for human-based interactions. Addressing this issue, this article argues that artificial empathy needs to become an important design consideration in the next generation of AI marketing applications. Drawing from research in diverse disciplines, we develop a systematic framework for integrating artificial empathy into AI-enabled marketing interactions. We elaborate on the key components of artificial empathy and how each component can be implemented in AI marketing agents. We further explicate and test how artificial empathy generates value for both customers and firms by bridging the AI-human gap in affective and social customer experience. Recognizing that artificial empathy may not always be desirable or relevant, we identify the requirements for artificial empathy to create value and deduce situations where it is unnecessary and, in some cases, harmful.",-0.237037037037037,0.7981481481481482,負面
1155,"In this article, we present an approach to generate a team of general video game playing agents with differentiated behaviors that can ultimately assist in the game development process. We consider the agent behavior as the corresponding outcomes of playing the game: rate of wins, score, exploration, enemies killed, items collected, etc. We create and identify agents that are expected to achieve particular goals but do not necessarily simulate human behavior during gameplay. We present a solution that, by heuristic diversification, provides a controller with different heuristics and a corresponding set of weights, driving its actions. Given the simplicity of this behavior-encoding and its easiness to evolve, we use Multidimensional Archive of Phenotypic Elites to generate different solutions that elicit particular behaviors and assemble a team. The resulting agents are allocated in a feature space, used to identify the expectations of each of them. We generate a team for four games of the General Video Game Artificial Intelligence framework and find six different behavior-type agents in each. We include an experiment to check the portability of these agents when playing alternative levels and an exploratory work aiming to use them to detect design flaws in game levels.",-0.1031746031746031,0.4365079365079364,負面
1198,"Advances in artificial intelligence (AI) create an increasing similarity between the performance of AI systems or AI-based robots and human communication. They raise the questions: (1) whether it is possible to communicate with, understand, and even empathically perceive artificial agents; (2) whether we should ascribe actual subjectivity and thus quasi-personal status to them beyond a certain level of simulation; (3) what will be the impact of an increasing dissolution of the distinction between simulated and real encounters. (1) To answer these questions, the paper argues that the precondition for actually understanding others consists in the implicit assumption of the subjectivity of our counterpart, which makes shared feelings and a ""we-intentionality"" possible. This assumption is ultimately based on the presupposition of a shared form of life, conceived here as ""conviviality."" (2) The possibility that future artificial agents could meet these preconditions is refuted on the basis of embodied and enactive cognition, which links subjectivity and consciousness to the aliveness of an organism. (3) Even if subjectivity is in principle impossible for artificial agents, the distinction between simulated and real subjectivity might nevertheless become increasingly blurred. Here, possible consequences are discussed, especially using the example of virtual psychotherapy. Finally, the paper makes case for a mindful appproach to the language we use to talk about artificial systems and pleads for preventing a systematic pretense of subjectivity.",-0.1901190476190476,0.7298214285714286,負面
1262,"In this paper, runoff time series of the sub-basins in a cascade form were decomposed by Wavelet Transform (WT) to extract their dynamical and multi-scale features for modeling Multi-Station (MS) rainfall-runoff (R-R) process of the Little River Watershed (LRW) in USA. A Self-Organizing Map (SOM) clustering technique was also employed to find homogeneous extracted sub-series' clusters. As a complementary feature, extraction criterion of mutual information (MI) was utilized for proper cluster agent choice to impose to the artificial intelligence (AI) models (Feed Forward Neural Network, FFNN; Extreme Learning Machine, ELM; and Least Square Support Vector Machine, LSSVM) to predict the runoff of the LRW sub-basins. The performance of wavelet-based runoff prediction was compared to the Markovian-based MS model. The proposed method not only considers the prediction of the outlet runoff but also covers predictions of interior sub-basins behavior. The outcomes showed that the proposed AI-models combined with the SOM and MI tools enhanced the MS runoff prediction efficiency up to 23% in comparison with the Markovian-based models. Nevertheless, benefit of the seasonality of the process along with reduction of dimension of the inputs could help the AI-models to consume pure information of the recorded data.",-0.1426020408163265,0.6428571428571429,負面
1285,"This study examines the plausibility of the emergence of sunspot equilibria in an agent-based artificial stock market. Using the agent-based model, we make the sunspots explicit so that we can test, e. g., by means of the Granger causality test, whether purely extrinsic uncertainty can influence price dynamics. In addition, through agent-based simulation, the coordination process, which is mainly driven by genetic programming, becomes observable, which enables us to analyze what agents perceive and whether they believe in sunspots. By manipulating different control variables, three series of experiments are conducted. Generally speaking, the chances of observing ""sunspot equilibria"" in this agent-based artificial stock market are small. However, the sunspot believers can never be driven out of the market. Nevertheless, they are always outnumbered by fundamental believers, which is evidence that the market as collective behavior is rational. We also find that lengthening the time horizon will make it difficult for sunspot believers to survive.",-0.1898809523809523,0.6666666666666666,負面
1345,"This paper offers a novel perspective on trust in artificial intelligence (AI) systems, focusing on the transfer of user trust in AI creators to trust in AI systems. Using the agentic information systems (IS) framework, we investigate the role of AI alignment and steerability in trust transference. Through four randomized experiments, we probe three key alignment-related attributes of AI systems: creator-based steerability, user-based steerability, and autonomy. Results indicate that creator-based steerability amplifies trust transference from AI creator to AI system, while user-based steerability and autonomy diminish it. Our findings suggest that AI alignment efforts should consider the entity with which the AI goals and values should be aligned and highlight the need for research to theorize from a triadic view encompassing the user, the AI system, and its creator. Given the diversity in individual goals and values, we recommend that developers move beyond the prevailing ""one-size-fits-all"" alignment strategy. Our findings contribute to trust transference theory by highlighting the boundary conditions under which trust transference breaks down or holds in the emerging human-AI environment.",-0.1311111111111111,0.5377777777777777,負面
1411,"Since the 1950s, a range of artists have used artificial agents in their work, in parallel with scientific research in cybernetics, artificial intelligence (AI) and artificial life (AL). In particular, an increasing number of artists work with machine learning and other adaptive systems. Through the author's own engagement with such systems, an analysis of adaptive agents is provided within the broader context of behavior aesthetics. As a result, the author proposes an aesthetic framework for understanding behaviors that accounts for the observer as an adaptive perceiving agent, the unfathomable character of machine learning systems and the morphology of behaviors as a time-based phenomenon.",-0.1447916666666666,0.6510416666666667,負面
